A	
816018	Operator urządzeń do produkcji wyrobów mleczarskich
816019	Operator urządzeń do produkcji wyrobów spirytusowych
816020	Operator urządzeń do przerobu ziarna kakaowego
816021	Operator urządzeń do przerobu ziarna zbóż
813128	Operator urządzeń do przeróbki ropy naftowej i gazu
812206	Operator urządzeń do przygotowania powierzchni do nakładania powłok
817110	Operator urządzeń do przygotowywania i dozowania dodatków masowych
814207	Operator urządzeń do spieniania tworzyw sztucznych
816022	Operator urządzeń do suszenia zbóż
817111	Operator urządzeń do ścierania drewna
814102	Operator urządzeń do wulkanizacji
722310	Operator urządzeń do wyważania i centrowania
812207	Operator urządzeń do zanurzeniowego nakładania powłok
816023	Operator urządzeń elewatorów zbożowych
813129	Operator urządzeń filtrujących
813130	Operator urządzeń granulujących
813131	Operator urządzeń homogenizujących
815602	Operator urządzeń kaletniczych
313207	Operator urządzeń klimatyzacyjnych i odpylających
813132	Operator urządzeń koksowniczych
816024	Operator urządzeń linii aseptycznego rozlewu w opakowania kartonowe
834313	Operator urządzeń ładunkowych silosu
813133	Operator urządzeń mieszających
815603	Operator urządzeń montażowych obuwia
352201	Operator urządzeń nadawczych telewizji kablowej
313208	Operator urządzeń oczyszczania ścieków
818303	Operator urządzeń pakujących
812112	Operator urządzeń próżniowego odgazowania stali
818115	Operator urządzeń przemysłu ceramicznego
 
813134	Operator urządzeń przemysłu chemicznego
818116	Operator urządzeń przemysłu szklarskiego
816025	Operator urządzeń przemysłu tytoniowego
816026	Operator urządzeń przetwórstwa drobiu
816027	Operator urządzeń przetwórstwa kawy
816028	Operator urządzeń przetwórstwa mięsa
816029	Operator urządzeń przetwórstwa owocowo-warzywnego
816030	Operator urządzeń przetwórstwa ryb
814103	Operator urządzeń przetwórstwa surowców gumowych
816031	Operator urządzeń przetwórstwa ziemniaczanego
812113	Operator urządzeń przygotowania wsadu
352202	Operator urządzeń radiokomunikacyjnych
817112	Operator urządzeń rębalni drewna
813135	Operator urządzeń rozdrabniających
817113	Operator urządzeń rozwłókniających
813136	Operator urządzeń sorpcyjnych
834109	Operator urządzeń technologicznych stosowanych w leśnictwie
352114	Operator urządzeń transmisyjnych radiowych
352115	Operator urządzeń transmisyjnych telewizyjnych
818902	Operator urządzeń utylizacji surowców zwierzęcych
313209	Operator urządzeń uzdatniania i demineralizacji wody
812114	Operator urządzeń walcowni
817114	Operator urządzeń warzelni
815604	Operator urządzeń wykrawających elementy obuwia
815904	Operator urządzeń wykrawających i nawarstwiających
813137	Operator urządzeń wyparnych
811407	Operator urządzeń wytwórczych mieszanek betonowych
818304	Operator urządzeń znakujących
834110	Operator wielooperacyjnych samojezdnych maszyn leśnych
834314	Operator wieżowy przenośnika taśmowego
813138	Operator wirówek
413201	Operator wprowadzania danych
814208	Operator wtryskarki
834315	Operator wywrotnic wagonowych
313904	Operator zautomatyzowanej i zrobotyzowanej linii produkcyjnej w przemyśle elektromaszynowym
721203	Operator zgrzewarek
351202	Operator zintegrowanych systemów zarządzania zasobami firmy (ERP)
834111	Operator zrywkowych kolejek linowych
834316	Operator żurawia jezdniowego
834317	Operator żurawia wieżowego
531102	Opiekun dzieci na przejściach dla pieszych
516402	Opiekun dzikich zwierząt
 
243302	Opiekun klienta
243104	Opiekun marki (brand manager)
532102	Opiekun medyczny
341202	Opiekun osoby starszej
341203	Opiekun w domu pomocy społecznej
516403	Opiekun zwierząt domowych
532201	Opiekunka domowa
531103	Opiekunka dzieci w drodze do szkoły
531104	Opiekunka dziecięca domowa
325905	Opiekunka dziecięca
341204	Opiekunka środowiskowa
215204	Optoelektronik
228601	Optometrysta
731104	Optyk - mechanik
325301	Optyk okularowy
343603	Organista
333201	Organizator imprez rozrywkowych (organizator eventów)
333203	Organizator imprez sportowych
333202	Organizator imprez ślubnych
524402	Organizator obsługi sprzedaży internetowej
242105	Organizator transportu drogowego
515202	Organizator usług domowych
343401	Organizator usług kateringowych
333204	Organizator usług konferencyjnych
516302	Organizator usług pogrzebowych
333205	Organizator widowni
731207	Organomistrz
731105	Ortopeda mechanik
325906	Ortoptystka
516201	Osoba do towarzystwa
228904	Osoba wykwalifikowana w przemyśle farmaceutycznym
323010	Osteopata
343909	Oświetlacz filmowy
P	
932101	Pakowacz
818204	Palacz kotłów centralnego ogrzewania gazowych
818205	Palacz kotłów centralnego ogrzewania wodnych rusztowych
818206	Palacz kotłów parowych
911202	Palacz pieców zwykłych
711403	Palowniczy
731901	Pamiątkarz
753302	Parasolnik
 
712203	Parkieciarz
962903	Parkingowy
111101	Parlamentarzysta
752104	Parzelniczy drewna
932904	Patroszacz ryb
235107	Pedagog
235911	Pedagog animacji kulturalnej
235108	Pedagog medialny
235912	Pedagog szkolny
514204	Pedikiurzystka
321102	Perfuzjonista
514104	Perukarz
713208	Piaskarz
812115	Piecowy nagrzewania wsadu w walcowni
812116	Piecowy pieca łukowego
751204	Piekarz
222101	Pielęgniarka
134205	Pielęgniarka oddziałowa
222201	Pielęgniarka specjalista organizacji i zarządzania
222202	Pielęgniarka specjalista pielęgniarstwa anestezjologicznego i intensywnej opieki
222203	Pielęgniarka specjalista pielęgniarstwa chirurgicznego
222204	Pielęgniarka specjalista pielęgniarstwa diabetologicznego
222205	Pielęgniarka specjalista pielęgniarstwa epidemiologicznego
222206	Pielęgniarka specjalista pielęgniarstwa geriatrycznego
222207	Pielęgniarka specjalista pielęgniarstwa kardiologicznego
222208	Pielęgniarka specjalista pielęgniarstwa nefrologicznego
222209	Pielęgniarka specjalista pielęgniarstwa neonatologicznego
222210	Pielęgniarka specjalista pielęgniarstwa neurologicznego
222211	Pielęgniarka specjalista pielęgniarstwa onkologicznego
222212	Pielęgniarka specjalista pielęgniarstwa operacyjnego
222213	Pielęgniarka specjalista pielęgniarstwa opieki długoterminowej
222214	Pielęgniarka specjalista pielęgniarstwa opieki paliatywnej
222215	Pielęgniarka specjalista pielęgniarstwa pediatrycznego
222216	Pielęgniarka specjalista pielęgniarstwa psychiatrycznego
222217	Pielęgniarka specjalista pielęgniarstwa ratunkowego
222218	Pielęgniarka specjalista pielęgniarstwa rodzinnego
222219	Pielęgniarka specjalista pielęgniarstwa środowiska nauczania i wychowania
222220	Pielęgniarka specjalista pielęgniarstwa w ochronie zdrowia pracujących
222221	Pielęgniarka specjalista pielęgniarstwa zachowawczego
222222	Pielęgniarka specjalista promocji zdrowia i edukacji zdrowotnej
752305	Pilarz
811408	Pilarz kamienia
315306	Pilot balonu wolnego – instruktor
 
315307	Pilot doświadczalny
315211	Pilot morski
315308	Pilot samolotowy zawodowy / liniowy
315309	Pilot sterowcowy zawodowy / liniowy
315310	Pilot szybowcowy – instruktor
315311	Pilot śmigłowcowy zawodowy / liniowy
315312	Pilot wiatrakowcowy zawodowy
511301	Pilot wycieczek
315212	Pilot żeglugi śródlądowej
265207	Piosenkarz
343910	Pirotechnik filmowy
343911	Pirotechnik widowiskowy
264102	Pisarz
432201	Planista produkcyjny
343204	Plastyk
731804	Plecionkarz
722202	Płatnerz
754105	Płetwonurek ratownik
421402	Poborca skarbowy
722104	Podkuwacz koni
021101	Podoficer sił zbrojnych
264103	Poeta
911203	Pokojowa
731504	Polerowacz szkła ręczny
752306	Polerowacz wyrobów z drewna
335502	Policjant służby kryminalnej
541304	Policjant służby prewencji
541305	Policjant służby wspomagającej
263304	Politolog
111102	Polityk (minister, sekretarz / podsekretarz stanu)
223101	Położna
223201	Położna specjalista organizacji i zarządzania
223202	Położna specjalista pielęgniarstwa epidemiologicznego
223203	Położna specjalista pielęgniarstwa ginekologicznego
223204	Położna specjalista pielęgniarstwa neonatologicznego
223205	Położna specjalista pielęgniarstwa położniczego
223206	Położna specjalista pielęgniarstwa rodzinnego
223207	Położna specjalista promocji zdrowia i edukacji zdrowotnej
532901	Pomoc apteczna
532902	Pomoc dentystyczna
911101	Pomoc domowa
932905	Pomoc krawiecka
941201	Pomoc kuchenna
 
911204	Pomoc laboratoryjna
921501	Pomocniczy robotnik leśny
921101	Pomocniczy robotnik polowy
921201	Pomocniczy robotnik przy hodowli zwierząt
921401	Pomocniczy robotnik przy konserwacji terenów zieleni
921301	Pomocniczy robotnik przy uprawie roślin i hodowli zwierząt
921402	Pomocniczy robotnik szklarniowy
921601	Pomocniczy robotnik w gospodarstwie rybackim
921403	Pomocniczy robotnik w gospodarstwie sadowniczym
921502	Pomocniczy robotnik w łowiectwie
441101	Pomocnik biblioteczny
932906	Pomocnik ciastkarza
932907	Pomocnik lakiernika
831107	Pomocnik maszynisty pojazdu trakcyjnego
932908	Pomocnik mechanika
932909	Pomocnik mleczarski
932910	Pomocnik piekarza
541306	Portier
712204	Posadzkarz
331103	Pośrednik finansowy
333301	Pośrednik pracy
244001	Pośrednik w obrocie nieruchomościami
731606	Pozłotnik
331201	Pracownik (doradca) do spraw kredytów
331202	Pracownik (doradca) do spraw pożyczek
333302	Pracownik agencji pracy tymczasowej
422101	Pracownik biura podróży
422601	Pracownik biura przepustek
332202	Pracownik centrum elektronicznej obsługi klienta
422201	Pracownik centrum obsługi telefonicznej (pracownik call center)
754401	Pracownik deratyzacji, dezynfekcji i dezynsekcji
411002	Pracownik do spraw ewidencji ludności
342310	Pracownik do spraw kultury fizycznej i sportu
441501	Pracownik do spraw osobowych
441502	Pracownik do spraw socjalnych
431201	Pracownik do spraw statystyki
431202	Pracownik do spraw ubezpieczeń
334401	Pracownik do spraw ubezpieczeń medycznych
333104	Pracownik działu logistyki
343302	Pracownik galerii / muzeum
422502	Pracownik informacji turystycznej
421301	Pracownik instytucji pożyczkowej
411003	Pracownik kancelaryjny
 
421203	Pracownik kolektury
421302	Pracownik lombardu
311906	Pracownik obsługi bankomatów
541901	Pracownik obsługi monitoringu
431301	Pracownik obsługi płacowej
331104	Pracownik obsługi produktów finansowych
541307	Pracownik ochrony fizycznej bez licencji
541308	Pracownik ochrony fizycznej I stopnia
541309	Pracownik ochrony fizycznej II stopnia
754402	Pracownik ochrony roślin
315404	Pracownik operacyjny służb ruchu lotniczego
341301	Pracownik parafialny
911205	Pracownik pomocniczy obsługi hotelowej
351403	Pracownik pozycjonowania stron internetowych
962201	Pracownik prac dorywczych
815702	Pracownik pralni chemicznej
933303	Pracownik przeprowadzkowy
941101	Pracownik przygotowujący posiłki typu fast food
432104	Pracownik punktu skupu
933401	Pracownik rozkładający towar na półkach
331105	Pracownik scentralizowanych systemów rozliczeniowych
341205	Pracownik socjalny
514205	Pracownik solarium
431203	Pracownik w biurze maklerskim
612203	Pracownik wylęgarni drobiu
541310	Pracownik zabezpieczenia technicznego I stopnia
541311	Pracownik zabezpieczenia technicznego II stopnia
341206	Pracownik zarządzania kryzysowego
912102	Praczka
818117	Prasowacz ceramiki elektronicznej i elektrotechnicznej
912103	Prasowaczka ręczna
261906	Prawnik legislator
532903	Preparator medyczny
265604	Prezenter muzyczny (discjockey)
265605	Prezenter telewizyjny
112017	Prezes
311102	Probierz
265403	Producent filmowy
611311	Producent i zbieracz ziół
265404	Producent teatralny
265405	Producent telewizyjny
611402	Producent zdrowej żywności
251401	Programista aplikacji
 
251103	Projektant / architekt systemów teleinformatycznych
251302	Projektant aplikacji multimedialnych, animacji i gier komputerowych
252103	Projektant baz danych
216301	Projektant biżuterii
216604	Projektant grafiki
216605	Projektant grafiki stron internetowych
216303	Projektant mody
241303	Projektant pakietów usług finansowych
351404	Projektant stron internetowych (webmaster)
311406	Projektant systemów alarmowych
216304	Projektant wzornictwa przemysłowego
261102	Prokurator
333903	Promotor marki (trendsetter)
228202	Promotor zdrowia
321401	Protetyk słuchu
332203	Przedstawiciel handlowy
243303	Przedstawiciel medyczny
111103	Przedstawiciel władzy samorządowej (marszałek, starosta, radny)
751402	Przetwórca owoców i warzyw
751103	Przetwórca ryb
511302	Przewodnik turystyczny górski
511303	Przewodnik turystyczny miejski
511304	Przewodnik turystyczny terenowy
832204	Przewoźnik osób
315213	Przewoźnik żeglugi śródlądowej
731805	Przędzarz
818118	Przygotowywacz mas ceramicznych
731806	Przygotowywacz włókna
263401	Psycholog
263402	Psycholog biznesu
263403	Psycholog kliniczny
263404	Psycholog organizacji
263405	Psycholog sportowy
263406	Psycholog wychowawczy / dziecka
228905	Psychoterapeuta
612302	Pszczelarz
812117	Pulpitowy wielkich pieców
R	
261103	Radca prawny
261907	Radca Prokuratorii Generalnejkarbu Państwa
516901	Radiesteta
315313	Radiooperator pokładowy
 
541902	Ratownik górniczy
541903	Ratownik górski
325601	Ratownik medyczny
224001	Ratownik medyczny specjalista
541904	Ratownik morski
541905	Ratownik pokładowy
541906	Ratownik wodny zawodowy
352116	Realizator dźwięku
352117	Realizator filmu wideo (wideofilmowiec)
265406	Realizator programu telewizyjnego
352118	Realizator rekonstrukcji dźwięku
343912	Realizator światła
422602	Recepcjonista
422401	Recepcjonista hotelowy
264204	Redaktor programowy
264104	Redaktor wydawniczy
261908	Referendarz sądowy
331203	Referent (asystent) bankowości
323011	Refleksolog
422603	Rejestratorka medyczna
112018	Rektor
343913	Rekwizytor
752204	Renowator mebli artystycznych
731807	Renowator tkanin unikatowych
711103	Renowator zabytków architektury
264205	Reporter radiowy / telewizyjny / prasowy
335202	Rewident kontroli skarbowej
831209	Rewident taboru kolejowego
511206	Rewizor pociągów
422102	Rezydent biura turystycznego
265407	Reżyser filmowy
265408	Reżyser teatralny
265409	Reżyser telewizyjny
753108	Rękawicznik
731808	Rękodzielnik wyrobów włókienniczych
931301	Robotnik budowlany
931205	Robotnik drogowy
515303	Robotnik gospodarczy
931101	Robotnik górniczy dołowy
621002	Robotnik leśny
933304	Robotnik magazynowy
931206	Robotnik mostowy
 
933305	Robotnik na rampie
931102	Robotnik naziemny w górnictwie
961301	Robotnik oczyszczania miasta
713304	Robotnik osuszania i odgrzybiania budowli
961302	Robotnik placowy
932911	Robotnik pomocniczy w przemyśle przetwórczym
933306	Robotnik portowy (doker)
932912	Robotnik przy myciu części i zespołów
711904	Robotnik rozbiórki budowli
931207	Robotnik torowy
531105	Rodzic zastępczy
621102	Rolnik chmielarz
611102	Rolnik łąkarz
611103	Rolnik producent kwalifikowanych nasion rolniczych
633001	Rolnik produkcji roślinnej i zwierzęcej pracujący na własne potrzeby
631001	Rolnik produkcji roślinnej pracujący na własne potrzeby
613003	Rolnik
611403	Rolnik upraw mieszanych
611104	Rolnik upraw polowych
751104	Rozbieracz – wykrawacz
951003	Rozlepiacz afiszy
722203	Rusznikarz
622101	Rybak hodowca
634001	Rybak pracujący na własne potrzeby
622301	Rybak rybołówstwa morskiego
622102	Rybak stawowy
622201	Rybak śródlądowy
933101	Rykszarz
753703	Rymarz
311801	Rysownik geodezyjny
311802	Rysownik kartograficzny
732111	Rysownik litograficzny
732112	Rytownik
242216	Rzecznik patentowy
331503	Rzeczoznawca
214210	Rzeczoznawca budowlany
331504	Rzeczoznawca jakości handlowej artykułów rolno-spożywczych
244002	Rzeczoznawca majątkowy
213209	Rzeczoznawca rolniczy
331505	Rzeczoznawca samochodowy
731607	Rzeźbiarz szkła
731705	Rzeźbiarz w drewnie
 
751105	Rzeźnik - wędliniarz
S	
621103	Sadownik
911206	Salowa
532904	Sanitariusz szpitalny
264105	Scenarzysta
265106	Scenograf
412001	Sekretarka
334402	Sekretarka medyczna
341102	Sekretarka notarialna
341103	Sekretarka w kancelarii prawnej
334305	Sekretarz konsularny
343914	Sekretarz planu filmowego
334201	Sekretarz sądowy
751302	Serowar
742117	Serwisant sprzętu komputerowego
311907	Serwisant urządzeń medycznych
261201	Sędzia
342206	Sędzia sportowy
532202	Siostra PCK
731706	Sitarz
421107	Skarbnik bankowy
821907	Składacz sprzętu spadochronowego
315314	Skoczek spadochronowy – instruktor
315315	Skoczek spadochronowy doświadczalny
263204	Socjolog
513203	Sommelier
932913	Sortowacz
731408	Sortowacz – brakarz ceramiki
731505	Sortowacz – brakarz szkła
752105	Sortowacz materiałów drzewnych
961201	Sortowacz surowców wtórnych
721204	Spawacz metodą MAG
721205	Spawacz metodą MIG
721206	Spawacz metodą TIG
721207	Spawacz ręczny gazowy
721208	Spawacz ręczny łukiem elektrycznym
242217	Specjalista administracji publicznej
243105	Specjalista analizy i rozwoju rynku
241304	Specjalista bankowości
228203	Specjalista bezpieczeństwa i higieny pracy
252901	Specjalista bezpieczeństwa oprogramowania
228401	Specjalista dietetyk
 
216606	Specjalista do spraw animacji multimedialnej
214108	Specjalista do spraw audytu zabezpieczenia
242218	Specjalista do spraw badań społeczno-ekonomicznych
242106	Specjalista do spraw doskonalenia organizacji
251201	Specjalista do spraw doskonalenia i rozwoju aplikacji
214924	Specjalista do spraw ergonomii i projektowania form użytkowych
241305	Specjalista do spraw factoringu
241306	Specjalista do spraw finansów
242219	Specjalista do spraw integracji europejskiej
242307	Specjalista do spraw kadr
243304	Specjalista do spraw kluczowych klientów (key account manager)
242107	Specjalista do spraw konsultingu
241102	Specjalista do spraw kontrolingu
242308	Specjalista do spraw kultury firmy
242108	Specjalista do spraw logistyki
243106	Specjalista do spraw marketingu i handlu
242220	Specjalista do spraw organizacji i rozwoju przemysłu
242221	Specjalista do spraw organizacji i rozwoju transportu
242222	Specjalista do spraw organizacji usług gastronomicznych, hotelarskich i turystycznych
214925	Specjalista do spraw pakowania i opakowań
242223	Specjalista do spraw planowania strategicznego
242109	Specjalista do spraw pozyskiwania funduszy
243203	Specjalista do spraw public relations
241103	Specjalista do spraw rachunkowości
241104	Specjalista do spraw rachunkowości inwestycyjnej
241105	Specjalista do spraw rachunkowości podatkowej
241106	Specjalista do spraw rachunkowości zarządczej
243107	Specjalista do spraw reklamy
242309	Specjalista do spraw rekrutacji pracowników
263503	Specjalista do spraw rodziny (familiolog)
251202	Specjalista do spraw rozwoju oprogramowania systemów informatycznych
251303	Specjalista do spraw rozwoju stron internetowych, Internetu i Intranetu
242402	Specjalista do spraw rozwoju zawodowego
243305	Specjalista do spraw sprzedaży
242224	Specjalista do spraw stosunków międzynarodowych
242403	Specjalista do spraw szkoleń
241307	Specjalista do spraw ubezpieczeń majątkowych i osobowych
241308	Specjalista do spraw ubezpieczeń społecznych
241309	Specjalista do spraw ubezpieczeń zdrowotnych
263407	Specjalista do spraw uzależnień od mediów cyfrowych
242310	Specjalista do spraw wynagrodzeń
242225	Specjalista do spraw zamówień publicznych
242311	Specjalista do spraw zarządzania talentami
 
235913	Specjalista do spraw zarządzania w oświacie
262206	Specjalista informacji naukowej, technicznej i ekonomicznej
263408	Specjalista komunikacji społecznej
214109	Specjalista kontroli jakości
263409	Specjalista marketingu społecznego
214926	Specjalista monitoringu systemów zabezpieczeń technicznych osób i mienia
242110	Specjalista ochrony informacji niejawnych
213303	Specjalista ochrony środowiska
242226	Specjalista organizacji i zarządzania w ochronie zdrowia
263305	Specjalista polityki społecznej
263504	Specjalista pracy socjalnej
228906	Specjalista psychoterapii uzależnień
263505	Specjalista resocjalizacji
243402	Specjalista sprzedaży technologii i usług informatycznych
228907	Specjalista terapii uzależnień
242312	Specjalista wielokulturowości
243306	Specjalista zaopatrzenia medycznego
262207	Specjalista zarządzania informacją
242227	Specjalista zarządzania kryzysowego
241310	Specjalista zarządzania ryzykiem (underwriter)
251902	Specjalista zastosowań informatyki
228204	Specjalista zdrowia publicznego
228402	Specjalista żywienia człowieka
333105	Spedytor
265606	Spiker radiowy
911208	Sprzątacz pojazdów
911207	Sprzątaczka biurowa
911102	Sprzątaczka domowa
521101	Sprzedawca na targowisku / bazarze
524403	Sprzedawca na telefon
521102	Sprzedawca obwoźny z samochodu (vanseller)
333904	Sprzedawca reklam internetowych
522301	Sprzedawca
952001	Sprzedawca uliczny produktów nieżywnościowych
521201	Sprzedawca uliczny żywności
522302	Sprzedawca w branży mięsnej
522303	Sprzedawca w branży przemysłowej
522304	Sprzedawca w branży spożywczej
524502	Sprzedawca w stacji paliw
962202	Statysta
212004	Statystyk
413104	Stenograf
315104	Stermotorzysta żeglugi śródlądowej
 
835005	Sternik żeglugi śródlądowej
817209	Sterowniczy linii sztaplowania i pakietowania tarcicy
511102	Steward statku morskiego
511101	Stewardesa
813139	Stokażowy
711503	Stolarz budowlany
752206	Stolarz galanterii drzewnej
752207	Stolarz mebli artystycznych i wzorcowych
752208	Stolarz meblowy
752209	Stolarz modelarz instrumentów muzycznych
752205	Stolarz
541101	Strażak
541312	Strażnik gminny / miejski
541907	Strażnik leśny
541908	Strażnik łowiecki
325507	Strażnik ochrony przyrody / środowiska
541909	Strażnik rybacki
541313	Strażnik straży marszałkowskiej
541314	Strażnik straży ochrony kolei
541301	Strażnik w zakładzie dla nieletnich
722311	Strugacz
752307	Strugacz drewna
754201	Strzałowy
712615	Studniarz
343915	Sufler
818119	Suszarnik ceramiki i wyrobów gipsowych
752106	Suszarniowy drewna
112019	Syndyk
211203	Synoptyk
962904	Szaleciarz
962905	Szatniarz
731707	Szczotkarz
343402	Szef kuchni (kuchmistrz)
753606	Szewc naprawiacz
712502	Szklarz
712503	Szklarz budowlany
712504	Szklarz pojazdów
731409	Szkliwierz ceramiki
711504	Szkutnik
818120	Szlifierz ceramiki
731303	Szlifierz kamieni szlachetnych i ozdobnych
811409	Szlifierz kamienia
752308	Szlifierz materiałów drzewnych
 
722312	Szlifierz metali
722402	Szlifierz ostrzarz
818121	Szlifierz polerowacz szkła maszynowy
731506	Szlifierz polerowacz szkła optycznego
731304	Szlifierz polerowacz wyrobów artystycznych
731507	Szlifierz szkła gospodarczego i technicznego
731508	Szlifierz szkła płaskiego
713104	Szpachlarz
933307	Sztauer – trymer
712302	Sztukator
753303	Szwaczka
731608	Szyldziarz
131203	Szyper
Ś	
722205	Ślusarz galanterii metalowej
722206	Ślusarz narzędziowy
722204	Ślusarz
341302	Świecki krzewiciel wiary
T	
333905	Tajemniczy klient (mystery shopper)
721504	Takielarz
331506	Taksator
331507	Taksator nieruchomości
331508	Taksator ryzyka działalności firm
832205	Taksówkarz
516303	Tanatoprakser
265302	Tancerz baletowy
343701	Tancerz
713105	Tapeciarz
753403	Tapicer meblowy
753402	Tapicer
752309	Tartacznik
514206	Tatuażysta
334306	Technik administracji
331402	Technik agrobiznesu
311908	Technik akustyk
311103	Technik analityk
321201	Technik analityki medycznej
325508	Technik analizy i monitoringu środowiska
311203	Technik architekt
314202	Technik architektury krajobrazu
 
441403	Technik archiwista
311909	Technik automatyk
311407	Technik automatyk sterowania ruchem kolejowym
315316	Technik awionik
325509	Technik bezpieczeństwa i higieny pracy
311910	Technik budownictwa okrętowego
311204	Technik budownictwa
311205	Technik budownictwa wodnego
311911	Technik cyfrowych procesów graficznych
321402	Technik dentystyczny
325510	Technik dozymetrysta
311206	Technik drogownictwa
311207	Technik dróg i mostów kolejowych
352119	Technik dźwięku
331403	Technik ekonomista
333106	Technik eksploatacji portów i terminali
311302	Technik elektroenergetyk transportu szynowego
311408	Technik elektronik
311409	Technik elektroniki medycznej
321103	Technik elektroradiolog
311304	Technik elektryk kolejowych sieci elektroenergetycznych
311303	Technik elektryk
311305	Technik elektryk samochodowy
311306	Technik elektryk urządzeń zabezpieczenia i sterowania ruchem kolejowym
311307	Technik energetyk
321301	Technik farmaceutyczny
325401	Technik fizjoterapii
311912	Technik garbarz
311913	Technik gazownictwa
311104	Technik geodeta
311105	Technik geofizyk
311106	Technik geolog
311701	Technik górnictwa odkrywkowego
311702	Technik górnictwa otworowego
311703	Technik górnictwa podziemnego
522305	Technik handlowiec
314203	Technik hodowca koni
314204	Technik hodowca zwierząt
 
422402	Technik hotelarstwa
311704	Technik hutnik
311107	Technik hydrolog
343303	Technik informacji naukowej
351203	Technik informatyk
311914	Technik instrumentów muzycznych
311208	Technik inżynierii środowiska i melioracji
335503	Technik kryminalistyki
522306	Technik księgarstwa
314301	Technik leśnik
333107	Technik logistyk
325402	Technik masażysta
311507	Technik mechanik – konserwator urządzeń dźwigowych
311505	Technik mechanik budowy środków transportu
311506	Technik mechanik eksploatacji środków transportu
315317	Technik mechanik lotniczy
311508	Technik mechanik maszyn i urządzeń
311509	Technik mechanik obróbki skrawaniem
315105	Technik mechanik okrętowy
311510	Technik mechanik precyzyjny
311504	Technik mechanik
311511	Technik mechanik urządzeń przemysłowych
311512	Technik mechanizacji rolnictwa
311410	Technik mechatronik
311108	Technik meteorolog
311109	Technik metrolog
315214	Technik nawigator morski
311915	Technik normowania pracy
422103	Technik obsługi turystycznej
311916	Technik obuwnik
541315	Technik ochrony fizycznej osób i mienia
325511	Technik ochrony środowiska
311705	Technik odlewnik
314205	Technik ogrodnik
325302	Technik optyk
311917	Technik organizacji produkcji
343916	Technik organizacji produkcji filmowej i telewizyjnej
333906	Technik organizacji reklamy
 
343403	Technik organizacji usług gastronomicznych
321403	Technik ortopeda
311601	Technik papiernictwa
311513	Technik pojazdów samochodowych
311918	Technik poligraf
311919	Technik pożarnictwa
411004	Technik prac biurowych
311706	Technik przeróbki kopalin stałych
314402	Technik przetwórstwa mleczarskiego
311602	Technik przetwórstwa tworzyw sztucznych
314206	Technik pszczelarz
431103	Technik rachunkowości
352120	Technik realizacji dźwięku
314207	Technik rolnik
314208	Technik rybactwa śródlądowego
315215	Technik rybołówstwa morskiego
333108	Technik spedytor
311920	Technik systemów zabezpieczeń technicznych osób i mienia
343205	Technik sztukatorstwa i kamieniarstwa artystycznego
311921	Technik technologii ceramicznej
311603	Technik technologii chemicznej
311922	Technik technologii drewna
311923	Technik technologii materiałów budowlanych
311924	Technik technologii odzieży
311925	Technik technologii szkła
311604	Technik technologii środków farmaceutycznych
311605	Technik technologii środków kosmetycznych
311926	Technik technologii wyrobów skórzanych
314404	Technik technologii żywności – cukrownictwo
314405	Technik technologii żywności – produkcja cukiernicza
314406	Technik technologii żywności – produkcja koncentratów spożywczych
314407	Technik technologii żywności – produkcja piekarsko-ciastkarska
314408	Technik technologii żywności – przechowalnictwo chłodnicze i technologia żywności mrożonej
314409	Technik technologii żywności – przetwórstwo fermentacyjne
314410	Technik technologii żywności – przetwórstwo jajczarsko-drobiarskie
314411	Technik technologii żywności – przetwórstwo mięsne
314412	Technik technologii żywności – przetwórstwo mleczarskie
314413	Technik technologii żywności – przetwórstwo owocowo-warzywne
 
314414	Technik technologii żywności – przetwórstwo rybne
314415	Technik technologii żywności – przetwórstwo surowców olejarskich
314416	Technik technologii żywności – przetwórstwo zbożowe
314417	Technik technologii żywności – przetwórstwo ziemniaczane
314403	Technik technologii żywności
351103	Technik teleinformatyk
352203	Technik telekomunikacji
311927	Technik transportu drogowego
311928	Technik transportu kolejowego
515203	Technik turystyki wiejskiej
352121	Technik urządzeń audiowizualnych
311929	Technik urządzeń chłodniczych
311930	Technik urządzeń i systemów energii odnawialnej
315501	Technik urządzeń ruchu lotniczego
311209	Technik urządzeń sanitarnych
514105	Technik usług fryzjerskich
514207	Technik usług kosmetycznych
421108	Technik usług pocztowych i finansowych
421109	Technik usług pocztowych i telekomunikacyjnych
324002	Technik weterynarii
311707	Technik wiertnik
311931	Technik włókienniczych wyrobów dekoracyjnych
311932	Technik włókiennik
311606	Technik zabezpieczeń przeciwkorozyjnych
315216	Technik żeglugi śródlądowej
322002	Technik żywienia i gospodarstwa domowego
215302	Technolog inżynierii telekomunikacyjnej
712904	Technolog robót wykończeniowych w budownictwie
524404	Telemarketer
263306	Teolog
325201	Terapeuta środowiskowy
325907	Terapeuta zajęciowy
712404	Termoizoler
251903	Tester oprogramowania komputerowego
251904	Tester systemów teleinformatycznych
731809	Tkacz
812118	Tłoczarz w metalu
264304	Tłumacz języka angielskiego
264305	Tłumacz języka arabskiego
 
264306	Tłumacz języka chińskiego
264307	Tłumacz języka francuskiego
264308	Tłumacz języka hiszpańskiego
264309	Tłumacz języka japońskiego
264310	Tłumacz języka migowego
264311	Tłumacz języka niemieckiego
264312	Tłumacz języka rosyjskiego
264313	Tłumacz języka włoskiego
